GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
risk-heatmap-export-service,com.riskheatmap.service,CustomUserDetailsService,41,0,2,0,13,0,3,0,2,0
risk-heatmap-export-service,com.riskheatmap.service,EmailService,20,125,4,4,4,29,4,4,0,4
risk-heatmap-export-service,com.riskheatmap.service,RiskItemServiceImpl,396,0,32,0,90,0,33,0,17,0
risk-heatmap-export-service,com.riskheatmap.service,AiIntegrationService,148,0,10,0,34,0,7,0,2,0
risk-heatmap-export-service,com.riskheatmap.config,JwtProperties,3,0,0,0,1,0,1,0,1,0
risk-heatmap-export-service,com.riskheatmap.config,JwtAuthFilter,66,0,10,0,19,0,6,0,1,0
risk-heatmap-export-service,com.riskheatmap.config,DataSeeder,169,0,4,0,27,0,4,0,2,0
risk-heatmap-export-service,com.riskheatmap.config,RedisConfig,25,0,0,0,9,0,2,0,2,0
risk-heatmap-export-service,com.riskheatmap.config,RestTemplateConfig,12,0,0,0,5,0,2,0,2,0
risk-heatmap-export-service,com.riskheatmap.config,SecurityConfig,100,0,0,0,26,0,7,0,7,0
risk-heatmap-export-service,com.riskheatmap.util,JwtUtil,111,0,4,0,23,0,12,0,10,0
risk-heatmap-export-service,com.riskheatmap,RiskHeatmapApplication,8,0,0,0,3,0,2,0,2,0
risk-heatmap-export-service,com.riskheatmap.exception,GlobalExceptionHandler,101,0,0,0,23,0,8,0,8,0
risk-heatmap-export-service,com.riskheatmap.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
risk-heatmap-export-service,com.riskheatmap.exception,ValidationException,4,0,0,0,2,0,1,0,1,0
risk-heatmap-export-service,com.riskheatmap.scheduler,NotificationScheduler,10,131,4,10,3,32,4,9,0,6
risk-heatmap-export-service,com.riskheatmap.controller,RiskItemController,51,0,2,0,11,0,6,0,5,0
risk-heatmap-export-service,com.riskheatmap.controller,AuthController,169,0,8,0,36,0,8,0,4,0
risk-heatmap-export-service,com.riskheatmap.entity,RiskItem,36,0,8,0,9,0,7,0,3,0
risk-heatmap-export-service,com.riskheatmap.dto,AuthResponse,15,0,0,0,6,0,1,0,1,0
